"","year","window","unitid","school_type","program_code","id_candidate","studentid","test_date","time_pt","time_sr","pt_aps","pt_we","pt_wm","score_pt","sr_sqr","sr_cre","sr_ca","score_sr","score_total","performance_pt","performance_sr","performance_tot","mastery","pr_across_pt","pr_across_sr","pr_across_total","pr_within_pt","pt_within_sr","pr_within_total","eaa","sat_tot","sat_m","sat_cr","sat_w","act_tot","sle","gpa","transfer","class","sex","race","parent_edu","dob","major_primary","field_of_study","major_secondary","english","attended_1","attended_2","attended_3","attended_4","effort_pt","effort_sr","engaging_pt","engaging_sr","ls_q1","ls_r1","ls_q2","ls_r2","ls_q3","ls_r3","ls_q4","ls_r4","ls_q5","ls_r5","ls_q6","ls_r6","ls_q7","ls_r7","ls_q8","ls_r8","ls_q9","ls_r9"
"1",2013,"Fall","35011000","0",0,479551,10097576,"2013-09-10 09:01:48","55","12",5,5,5,1409,477,413,523,948,1179,NA,NA,NA,"Proficient",97,31,80,91,16,60,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"2","6","5","1995-10-21","11",1,"34","1",1,0,0,0,"4","3","4","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2013,"Fall","35011000","0",0,479544,10093347,"2013-09-10 09:00:56","59","21",4,4,4,1254,620,413,523,1082,1168,NA,NA,NA,"Proficient",88,57,78,73,38,56,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"1","8","3","1994-09-08","11",1,"26","1",1,0,0,0,"4","3","4","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2013,"Fall","35011000","0",0,479563,10094399,"2013-09-10 09:06:01","46","19",5,5,5,1489,477,413,319,851,1170,NA,NA,NA,"Proficient",98,17,78,95,7,56,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"2","6","5","1995-07-12","11",1,"11","1",1,0,0,0,"3","3","4","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2013,"Fall","35011000","0",0,479545,10093332,"2013-09-10 09:00:42","32","16",4,4,4,1207,535,508,523,1092,1150,NA,NA,NA,"Proficient",80,59,74,56,40,50,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"1","6","5","1995-05-10","11",1,"34","1",1,0,0,0,"4","2","3","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2013,"Fall","35011000","0",0,479531,10093480,"2013-09-10 08:59:28","44","22",4,4,4,1207,593,458,319,1002,1105,NA,NA,NA,"Proficient",80,41,65,56,22,36,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"1","6","5","1995-02-09","11",1,"34","1",1,0,0,0,"4","4","4","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",2013,"Fall","35011000","0",0,479518,10093703,"2013-09-10 08:59:09","33","22",3,3,3,999,477,508,319,940,970,NA,NA,NA,"Basic",40,30,32,14,15,8,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"2","6","4","1994-08-17","11",1,"11","1",1,0,0,0,"3","3","3","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",2013,"Fall","35011000","0",0,479506,10093450,"2013-09-10 08:58:44","43","25",4,4,4,1249,535,619,319,1100,1174,NA,NA,NA,"Proficient",85,61,79,66,42,58,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"2","6","5","1995-05-24","11",1,"36","1",1,0,0,0,"4","3","4","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",2013,"Fall","35011000","0",0,479513,10094348,"2013-09-10 08:58:45","34","20",4,4,4,1298,708,568,528,1314,1306,NA,NA,NA,"Proficient",93,93,95,83,90,90,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"1","6","5","1995-10-28","11",1,"36","1",1,0,0,0,"3","3","3","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",2013,"Fall","35011000","0",0,479499,10094480,"2013-09-10 08:58:50","19","22",3,3,3,1038,572,558,596,1208,1123,NA,NA,NA,"Proficient",45,80,69,18,69,43,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"1","6","3","1995-06-10","11",1,"34","1",1,0,0,0,"4","5","4","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2013,"Fall","35011000","0",0,479519,10094394,"2013-09-10 09:00:06","54","24",4,4,4,1250,593,508,598,1182,1216,NA,NA,NA,"Proficient",86,76,86,69,62,71,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"1","6","5","1995-04-08","11",1,"21","1",1,0,0,0,"4","3","4","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
