studentid,Year,Subject,Course,Consent,Test
10122694,2013,DRAM,100,2,
10111493,2013,DRAM,100,2,
10110515,2013,DRAM,100,2,
10108053,2013,DRAM,100,2,
10103383,2013,DRAM,100,2,
10099170,2013,DRAM,100,2,
10097744,2013,DRAM,100,2,
10097183,2013,DRAM,100,2,
10094762,2013,DRAM,100,2,
10093894,2013,DRAM,100,2,
10093486,2013,DRAM,100,2,
10093293,2013,DRAM,100,2,
10092680,2013,DRAM,100,2,
10091135,2013,DRAM,100,2,
10072329,2013,DRAM,100,2,
10056438,2013,DRAM,100,2,
10048747,2013,DRAM,100,2,
10028120,2013,DRAM,100,2,
10026420,2013,DRAM,100,2,
10021376,2013,DRAM,100,2,
6328945,2013,DRAM,100,2,
6311385,2013,DRAM,100,2,
,2013,DRAM,100,2,
10111238,2013,DRAM,100,3,
10111170,2013,DRAM,100,3,
10108549,2013,DRAM,100,3,
10104721,2013,DRAM,100,3,
10103796,2013,DRAM,100,3,
10103412,2013,DRAM,100,3,
10097356,2013,DRAM,100,3,
10096028,2013,DRAM,100,3,
10086129,2013,DRAM,100,3,
10062330,2013,DRAM,100,3,
10112368,2013,DRAM,100,1,
10111899,2013,DRAM,100,1,
10111465,2013,DRAM,100,1,
10111078,2013,DRAM,100,1,
10107346,2013,DRAM,100,1,
10106567,2013,DRAM,100,1,
10106206,2013,DRAM,100,1,
10104943,2013,DRAM,100,1,
10103076,2013,DRAM,100,1,
10102763,2013,DRAM,100,1,
10098494,2013,DRAM,100,1,
10094520,2013,DRAM,100,1,
10093476,2013,DRAM,100,1,
10092798,2013,DRAM,100,1,
10091432,2013,DRAM,100,1,
10091241,2013,DRAM,100,1,
10090828,2013,DRAM,100,1,
10090415,2013,DRAM,100,1,
10089306,2013,DRAM,100,1,
10084685,2013,DRAM,100,1,
10081138,2013,DRAM,100,1,
10066955,2013,DRAM,100,1,
10064444,2013,DRAM,100,1,
10054320,2013,DRAM,100,1,
10010320,2013,DRAM,100,1,
10007812,2013,DRAM,100,1,
6305360,2013,DRAM,100,1,
10113938,2013,DRAM,100,2,CLA+
10103015,2013,DRAM,100,2,CLA+
10102153,2013,DRAM,100,2,CLA+
10100842,2013,DRAM,100,2,CLA+
10099781,2013,DRAM,100,2,CLA+
10097406,2013,DRAM,100,2,CLA+
10097300,2013,DRAM,100,2,CLA+
10096173,2013,DRAM,100,2,CLA+
10093700,2013,DRAM,100,2,CLA+
10085346,2013,DRAM,100,2,CLA+
10056716,2013,DRAM,100,2,CLA+
10055810,2013,DRAM,100,2,CLA+
10054257,2013,DRAM,100,2,CLA+
10110166,2013,DRAM,100,3,CLA+
10107515,2013,DRAM,100,3,CLA+
10107105,2013,DRAM,100,3,CLA+
10105799,2013,DRAM,100,3,CLA+
10104625,2013,DRAM,100,3,CLA+
10102791,2013,DRAM,100,3,CLA+
10100954,2013,DRAM,100,3,CLA+
10092411,2013,DRAM,100,3,CLA+
10091739,2013,DRAM,100,3,CLA+
10091414,2013,DRAM,100,3,CLA+
10110255,2013,DRAM,100,1,CLA+
10106316,2013,DRAM,100,1,CLA+
