studentid,Program,Plan,Year,Subject,Course,Consent,Test
10091594,BSCE,ENPH-M-BSE,2015,ENPH,239,2,DSA
10049177,BSCE,MTHE-M-BSE,2015,ENPH,239,2,CAT
10085841,BSCE,ENPH-M-BSE,2015,ENPH,239,2,DSA
10097851,BSCE,ENPH-M-BSE,2015,ENPH,239,2,DSA
10096730,BSCE,ENPH-M-BSE,2015,ENPH,239,2,CAT
10090869,BSCE,ENPH-M-BSE,2015,ENPH,239,2,DSA
10089988,BSCE,ENPH-M-BSE,2015,ENPH,239,2,CAT
10093347,BSCE,ENPH-M-BSE,2015,ENPH,239,2,CAT
10091662,BSCE,MTHE-M-BSE,2015,ENPH,239,2,CAT
10096541,BSCE,ENPH-M-BSE,2015,ENPH,239,2,DSA
10044704,BSCE,MTHE-M-BSE,2015,ENPH,239,2,CAT
10093860,BSCE,ENPH-M-BSE,2015,ENPH,239,2,DSA
10090000,BSCE,ENPH-M-BSE,2015,ENPH,239,2,DSA
10104479,BSCE,ENPH-M-BSE,2015,ENPH,239,2,DSA
10090314,BSCE,ENPH-M-BSE,2015,ENPH,239,2,CAT
10091178,BSCE,MTHE-M-BSE,2015,ENPH,239,2,CAT
10092098,BSCH,PHYS-P-BSH,2015,PHYS,239,2,CAT
10091271,BSCH,PHYS-P-BSH,2015,PHYS,239,2,CAT
10092366,BSCH,PHYS-P-BSH,2015,PHYS,239,2,CAT
10045202,BSCH,ENSC-M-BSH,2015,PHYS,239,2,CAT
10083721,BSCH,PHYS-M-BSH,2015,PHYS,239,2,CAT
10111114,BSCH,PHYS-M-BSH,2015,PHYS,239,2,CAT
10090841,BSCH,PHYS-P-BSH,2015,PHYS,239,2,CAT
10122065,BSCH,MAPH-P-BSH,2015,PHYS,239,2,CAT
10110183,BSCH,PHYS-M-BSH,2015,PHYS,239,2,CAT
10092417,BSCE,MTHE-M-BSE,2015,ENPH,239,3,CAT
10051280,BSCE,ENPH-M-BSE,2015,ENPH,239,3,DSA
10092382,BSCE,ENPH-M-BSE,2015,ENPH,239,3,CAT
10092941,BSCE,ENPH-M-BSE,2015,ENPH,239,3,CAT
10107182,BSCE,ENPH-M-BSE,2015,ENPH,239,3,DSA
10096793,BSCE,ENPH-M-BSE,2015,ENPH,239,3,CAT
10122493,BSCE,MTHE-M-BSE,2015,ENPH,239,3,CAT
10095706,BSCE,ENPH-I-BSE,2015,ENPH,239,3,CAT
10091018,BSCH,MAPH-P-BSH,2015,PHYS,239,3,CAT
10093601,BSCH,PHYS-P-BSH,2015,PHYS,239,3,CAT
10085370,BSCH,PHYS-M-BSH,2015,PHYS,239,3,CAT
10101423,BSCH,PHYS-P-BSH,2015,PHYS,239,3,CAT
10089987,BSCH,PHYS-M-BSH,2015,PHYS,239,3,CAT
10090029,BSCH,PHYS-M-BSH,2015,PHYS,239,3,CAT
10096338,BSCH,ASPH-P-BSH,2015,PHYS,239,3,CAT
10090106,BSCH,PHYS-P-BSH,2015,PHYS,239,3,CAT
10094517,BSCH,PHYS-M-BSH,2015,PHYS,239,3,CAT
