studentid,Year,Subject,Course,Consent,Test
5198819,2013,PHYS,104,2,CLA+
10090809,2013,PHYS,104,2,CLA+
10100100,2013,PHYS,104,2,CLA+
10109156,2013,PHYS,104,2,DNT
10107853,2013,PHYS,104,2,CLA+
10094102,2013,PHYS,104,2,CLA+
10105975,2013,PHYS,104,2,CLA+
10092971,2013,PHYS,104,2,CLA+
10092073,2013,PHYS,104,2,CLA+
10111356,2013,PHYS,104,2,CLA+
10100310,2013,PHYS,104,2,CLA+
10012313,2013,PHYS,104,2,CLA+
10086183,2013,PHYS,104,2,CLA+
10105780,2013,PHYS,104,2,CLA+
10091411,2013,PHYS,104,2,CLA+
10086508,2013,PHYS,104,2,CLA+
10098638,2013,PHYS,104,2,CLA+
10089295,2013,PHYS,104,2,CLA+
10066200,2013,PHYS,104,2,CLA+
10086029,2013,PHYS,104,2,DNT
10093303,2013,PHYS,104,2,CLA+
10095690,2013,PHYS,104,2,CLA+
10103548,2013,PHYS,104,2,CLA+
10105920,2013,PHYS,104,2,CLA+
10113263,2013,PHYS,104,2,CLA+
10086035,2013,PHYS,104,2,CLA+
10089987,2013,PHYS,104,2,CLA+
10093312,2013,PHYS,104,2,CLA+
10096987,2013,PHYS,104,2,CLA+
10087035,2013,PHYS,104,2,CLA+
10091441,2013,PHYS,104,2,CLA+
10111338,2013,PHYS,104,2,CLA+
10111114,2013,PHYS,104,2,CLA+
10104115,2013,PHYS,104,2,CLA+
10091051,2013,PHYS,104,2,DNT
10084539,2013,PHYS,104,2,DNT
10064672,2013,PHYS,104,2,CLA+
10075743,2013,PHYS,104,2,CLA+
10105688,2013,PHYS,104,2,CLA+
10055256,2013,PHYS,104,2,CLA+
10086392,2013,PHYS,104,2,DNT
10090361,2013,PHYS,104,2,CLA+
10091461,2013,PHYS,104,2,CLA+
10101972,2013,PHYS,104,2,DNT
10090547,2013,PHYS,104,2,CLA+
10092947,2013,PHYS,104,2,DNT
10093014,2013,PHYS,104,2,CLA+
10096513,2013,PHYS,104,2,DNT
10092634,2013,PHYS,104,2,CLA+
10090373,2013,PHYS,104,2,CLA+
10091404,2013,PHYS,104,2,DNT
10091283,2013,PHYS,104,2,CLA+
10095487,2013,PHYS,104,2,CLA+
10101004,2013,PHYS,104,2,CLA+
10092675,2013,PHYS,104,2,CLA+
6033887,2013,PHYS,104,2,CLA+
10112519,2013,PHYS,104,2,CLA+
10085914,2013,PHYS,104,2,CLA+
10103019,2013,PHYS,104,2,CLA+
10092648,2013,PHYS,104,2,CLA+
10103625,2013,PHYS,104,2,CLA+
10063961,2013,PHYS,104,2,CLA+
10059828,2013,PHYS,104,2,CLA+
10049306,2013,PHYS,104,2,CLA+
10110552,2013,PHYS,104,2,CLA+
10091388,2013,PHYS,104,2,CLA+
10107249,2013,PHYS,104,2,CLA+
10045202,2013,PHYS,104,2,CLA+
10091500,2013,PHYS,104,2,CLA+
10090029,2013,PHYS,104,2,CLA+
10093398,2013,PHYS,104,2,CLA+
10097290,2013,PHYS,104,2,CLA+
10086383,2013,PHYS,104,2,CLA+
10114820,2013,PHYS,104,2,CLA+
10122493,2013,PHYS,104,2,CLA+
10096978,2013,PHYS,104,2,CLA+
10090106,2013,PHYS,104,2,DNT
10103153,2013,PHYS,104,3,CLA+
10091102,2013,PHYS,104,3,CLA+
10092075,2013,PHYS,104,3,CLA+
10104963,2013,PHYS,104,3,CLA+
10111276,2013,PHYS,104,3,CLA+
10092417,2013,PHYS,104,3,CLA+
10093689,2013,PHYS,104,3,CLA+
10025387,2013,PHYS,104,3,CLA+
10090525,2013,PHYS,104,3,CLA+
10087058,2013,PHYS,104,3,CLA+
10104137,2013,PHYS,104,3,DNT
10092098,2013,PHYS,104,3,CLA+
10085780,2013,PHYS,104,3,CLA+
10111340,2013,PHYS,104,3,CLA+
10023377,2013,PHYS,104,3,CLA+
10085081,2013,PHYS,104,3,CLA+
10087048,2013,PHYS,104,3,CLA+
10061306,2013,PHYS,104,3,CLA+
10103359,2013,PHYS,104,3,CLA+
10086344,2013,PHYS,104,3,CLA+
10085370,2013,PHYS,104,3,DNT
10113025,2013,PHYS,104,3,CLA+
10093471,2013,PHYS,104,3,CLA+
10092065,2013,PHYS,104,3,CLA+
10052661,2013,PHYS,104,3,CLA+
10097685,2013,PHYS,104,3,CLA+
10098197,2013,PHYS,104,3,CLA+
10092499,2013,PHYS,104,3,CLA+
10098587,2013,PHYS,104,3,DNT
