Acad Group,Subject,Catalog Number,Class Section,studentid,Consent,Sex,Prim Prog
ASC,PSYC, 100A,005,10090196,3,F,BSCH
ASC,PSYC, 100A,005,10089301,3,F,BSCH
ASC,PSYC, 100A,005,10085221,3,F,BSCH
ASC,PSYC, 100A,005,10086171,3,F,BSCH
ASC,PSYC, 100A,005,10091466,3,F,BAH
ASC,PSYC, 100A,005,10044109,3,M,BSC
ASC,PSYC, 100A,005,10113266,3,M,BAH
ASC,PSYC, 100A,005,10122152,3,F,BAH
ASC,PSYC, 100A,005,10085591,3,F,BSCH
ASC,PSYC, 100A,005,10085933,3,M,BSCH
ASC,PSYC, 100A,005,10106105,3,F,BAH
ASC,PSYC, 100A,005,10080476,3,F,BAH
ASC,PSYC, 100A,005,10085832,3,M,BSCH
ASC,PSYC, 100A,005,06197191,3,F,BSCH
ASC,PSYC, 100A,005,10104559,3,F,BAH
ASC,PSYC, 100A,005,05149850,3,F,BA
ASC,PSYC, 100A,005,10113208,3,F,BAH
ASC,PSYC, 100A,006,10089248,3,M,BSCH
ASC,PSYC, 100A,006,10089283,3,F,BAH
ASC,PSYC, 100A,006,10085531,3,F,BSCH
ASC,PSYC, 100A,006,10102048,3,F,BAH
ASC,PSYC, 100A,006,10090083,3,F,BSCH
ASC,PSYC, 100A,006,10118861,3,F,UASC
ASC,PSYC, 100A,006,10098942,3,M,BAH
ASC,PSYC, 100A,006,10110541,3,F,BAH
ASC,PSYC, 100A,006,10061929,3,F,BSC
ASC,PSYC, 100A,006,10099844,3,F,BAH
ASC,PSYC, 100A,006,10094365,3,F,BSCH
ASC,PSYC, 100A,006,10089335,3,F,BSCH
ASC,PSYC, 100A,006,10094450,3,M,BAH
ASC,PSYC, 100A,006,10090755,3,M,BAH
ASC,PSYC, 100A,006,10089164,3,F,BSCH
ASC,PSYC, 100A,006,10090443,3,F,BSCH
ASC,PSYC, 100A,006,10096278,3,F,BAH
ASC,PSYC, 100A,006,10105118,3,F,BAH
ASC,PSYC, 100A,006,10096087,3,F,BAH
ASC,PSYC, 100A,006,10096376,3,F,BAH
ASC,PSYC, 100A,006,10083586,3,F,BSCH
ASC,PSYC, 100A,006,10093735,3,F,BAH
