studentid,Program,Year,Subject,Course,Consent,Test
10090670,BAH,2015,PSYC,203,2,CAT
10103745,BAH,2015,PSYC,203,2,CAT
10093341,BSCH,2015,PSYC,203,2,CAT
10075075,BAH,2015,PSYC,203,2,CAT
10097337,BAH,2015,PSYC,203,2,CAT
10105101,BSCH,2015,PSYC,203,2,CAT
10097253,BSCH,2015,PSYC,203,2,CAT
10093771,BAH,2015,PSYC,203,2,CAT
10106736,BAH,2015,PSYC,203,2,CAT
10096194,BAH,2015,PSYC,203,2,CAT
10106555,BAH,2015,PSYC,203,2,CAT
10086512,BAH,2015,PSYC,203,2,CAT
10058518,BAH,2015,PSYC,203,2,CAT
10093330,BAH,2015,PSYC,203,2,CAT
10095423,BAH,2015,PSYC,203,2,CAT
10094319,BAH,2015,PSYC,203,2,CAT
10083888,BAH,2015,PSYC,203,2,CAT
10104502,BSCH,2015,PSYC,203,2,CAT
10099952,BAH,2015,PSYC,203,2,CAT
10093923,BAH,2015,PSYC,203,2,CAT
10095459,BSCH,2015,PSYC,203,2,CAT
10104249,BAH,2015,PSYC,203,2,CAT
10094608,BAH,2015,PSYC,203,2,CAT
10106567,BSCH,2015,PSYC,203,2,CAT
10099803,BAH,2015,PSYC,203,2,CAT
10099005,BAH,2015,PSYC,203,2,CAT
10092637,BSCH,2015,PSYC,203,2,CAT
10092989,BAH,2015,PSYC,203,2,CAT
10103697,BAH,2015,PSYC,203,2,CAT
10107102,BAH,2015,PSYC,203,2,CAT
10101722,BAH,2015,PSYC,203,2,CAT
10052082,BSCH,2015,PSYC,203,2,CAT
10058107,BSCH,2015,PSYC,203,2,CAT
10090130,BAH,2015,PSYC,203,2,CAT
10098565,BSCH,2015,PSYC,203,2,CAT
10097262,BAH,2015,PSYC,203,2,CAT
10100219,BAH,2015,PSYC,203,2,CAT
10106413,BAH,2015,PSYC,203,2,CAT
10100778,BAH,2015,PSYC,203,2,CAT
10089738,BSCH,2015,PSYC,203,2,CAT
10091342,BAH,2015,PSYC,203,2,CAT
10066620,BAH,2015,PSYC,203,2,CAT
10102835,BAH,2015,PSYC,203,2,CAT
10090489,BAH,2015,PSYC,203,2,CAT
10101960,BAH,2015,PSYC,203,2,CAT
10091744,BAH,2015,PSYC,203,2,CAT
10094769,BAH,2015,PSYC,203,2,CLA+
10103742,BAH,2015,PSYC,203,2,CLA+
10092679,BAH,2015,PSYC,203,2,CLA+
10097590,BSCH,2015,PSYC,203,2,CLA+
10097968,BAH,2015,PSYC,203,2,CLA+
10091822,BAH,2015,PSYC,203,2,CLA+
10112968,BSCH,2015,PSYC,203,2,CLA+
10056840,BAH,2015,PSYC,203,2,CLA+
10089769,BAH,2015,PSYC,203,2,CLA+
10097566,BSCH,2015,PSYC,203,2,CLA+
10098232,BAH,2015,PSYC,203,2,CLA+
10106428,BAH,2015,PSYC,203,2,CLA+
10056743,BSCH,2015,PSYC,203,2,CLA+
10089243,BAH,2015,PSYC,203,2,CLA+
10086523,BSCH,2015,PSYC,203,2,CLA+
10090740,BAH,2015,PSYC,203,2,CLA+
10086681,BSCH,2015,PSYC,203,2,CLA+
10099382,BAH,2015,PSYC,203,2,CLA+
10107353,BSCH,2015,PSYC,203,2,CLA+
10061929,BSCH,2015,PSYC,203,2,CLA+
10070953,BSCH,2015,PSYC,203,2,CLA+
10103978,BSCH,2015,PSYC,203,2,CLA+
10092197,BSCH,2015,PSYC,203,2,CLA+
10086614,BSCH,2015,PSYC,203,2,CLA+
10111716,BAH,2015,PSYC,203,2,CLA+
10085360,BSCH,2015,PSYC,203,2,CLA+
10093793,BSCH,2015,PSYC,203,2,CLA+
10096671,BSCH,2015,PSYC,203,2,CLA+
10027598,BAH,2015,PSYC,203,2,CLA+
10094735,BAH,2015,PSYC,203,2,CLA+
10106080,BSCH,2015,PSYC,203,2,CLA+
10091123,BAH,2015,PSYC,203,2,CLA+
10071016,BAH,2015,PSYC,203,2,CLA+
10045662,BAH,2015,PSYC,203,2,CLA+
10044163,BSCH,2015,PSYC,203,2,CLA+
10073280,BSCH,2015,PSYC,203,2,CLA+
10110189,BAH,2015,PSYC,203,2,CLA+
10052138,BSCH,2015,PSYC,203,2,CLA+
10084372,BAH,2015,PSYC,203,2,CLA+
10050243,BSCH,2015,PSYC,203,2,CLA+
10086787,BSCH,2015,PSYC,203,2,CLA+
10113834,BAH,2015,PSYC,203,2,CLA+
10110419,BSCH,2015,PSYC,203,2,CLA+
10091720,BSCH,2015,PSYC,203,2,CLA+
10093321,BSCH,2015,PSYC,203,2,CLA+
10097002,BAH,2015,PSYC,203,2,CLA+
10026023,BAH,2015,PSYC,203,2,CLA+
10056589,BAH,2015,PSYC,203,2,CLA+
10022436,BAH,2015,PSYC,203,2,CLA+
10104307,BAH,2015,PSYC,203,2,CLA+
10094856,BAH,2015,PSYC,203,2,CLA+
10084264,BAH,2015,PSYC,203,2,CLA+
10056276,BSCH,2015,PSYC,203,2,CLA+
10093805,BAH,2015,PSYC,203,2,CLA+
10092105,BSCH,2015,PSYC,203,2,CLA+
10091641,BAH,2015,PSYC,203,2,CLA+
10063413,BSCH,2015,PSYC,203,2,CLA+
10090361,BSCH,2015,PSYC,203,2,CLA+
10090444,BAH,2015,PSYC,203,2,CLA+
10053911,BAH,2015,PSYC,203,2,CLA+
10109888,BAH,2015,PSYC,203,2,CLA+
10110314,BAH,2015,PSYC,203,2,CLA+
10110407,BSCH,2015,PSYC,203,2,CLA+
10108060,BAH,2015,PSYC,203,2,CLA+
10093914,BAH,2015,PSYC,203,2,CLA+
10086119,BSCH,2015,PSYC,203,2,CLA+
10090862,BAH,2015,PSYC,203,2,CLA+
10064436,BSCH,2015,PSYC,203,2,CLA+
10099573,BSCH,2015,PSYC,203,2,CLA+
10107396,BAH,2015,PSYC,203,2,CLA+
10101546,BAH,2015,PSYC,203,2,CLA+
10084838,BAH,2015,PSYC,203,2,CLA+
10067245,BSCH,2015,PSYC,203,2,CLA+
10051516,BAH,2015,PSYC,203,2,CLA+
10102676,BAH,2015,PSYC,203,2,CLA+
10092052,BAH,2015,PSYC,203,2,CLA+
10109487,BSCH,2015,PSYC,203,2,CLA+
10092490,BAH,2015,PSYC,203,2,CLA+
10097890,BSCH,2015,PSYC,203,2,CLA+
10113695,BSCH,2015,PSYC,203,2,CLA+
10106439,BSCH,2015,PSYC,203,2,CLA+
10086180,BAH,2015,PSYC,203,2,CLA+
10019613,BSCH,2015,PSYC,203,2,CLA+
10097757,BAH,2015,PSYC,203,2,CLA+
10061031,BAH,2015,PSYC,203,2,CLA+
10094447,BAH,2015,PSYC,203,2,CLA+
10096593,BSCH,2015,PSYC,203,2,CLA+
10099217,BAH,2015,PSYC,203,2,CLA+
10045558,BAH,2015,PSYC,203,2,DNT
10106475,BAH,2015,PSYC,203,2,DNT
10101224,BAH,2015,PSYC,203,2,DNT
10096293,BAH,2015,PSYC,203,2,DNT
10105042,BSCH,2015,PSYC,203,2,DNT
10112160,BSCH,2015,PSYC,203,2,DNT
10083902,BCMPH,2015,PSYC,203,2,DNT
10095807,BAH,2015,PSYC,203,2,DNT
10113938,BAH,2015,PSYC,203,2,CLA+
10109949,BAH,2015,PSYC,203,2,DNT
10091388,BSCH,2015,PSYC,203,2,DNT
10097681,BAH,2015,PSYC,203,2,DNT
10105191,BAH,2015,PSYC,203,2,DNT
10114810,BSCH,2015,PSYC,203,2,DNT
6322404,BSCH,2015,PSYC,203,2,DNT
10092349,BAH,2015,PSYC,203,2,DNT
10084816,BAH,2015,PSYC,203,2,DNT
10091759,BSCH,2015,PSYC,203,2,DNT
10066838,BAH,2015,PSYC,203,2,DNT
10084685,BAH,2015,PSYC,203,3,CAT
10102048,BAH,2015,PSYC,203,3,CAT
10092473,BAH,2015,PSYC,203,3,CAT
10098539,BAH,2015,PSYC,203,3,CAT
10084064,BAH,2015,PSYC,203,3,CAT
10059106,BAH,2015,PSYC,203,3,CAT
10111019,BAH,2015,PSYC,203,3,CAT
10072819,BAH,2015,PSYC,203,3,CAT
10089982,BSCH,2015,PSYC,203,3,CLA+
10109203,BSCH,2015,PSYC,203,3,CLA+
10050281,BAH,2015,PSYC,203,3,CLA+
10105371,BAH,2015,PSYC,203,3,CLA+
10106586,BAH,2015,PSYC,203,3,CLA+
10098987,BAH,2015,PSYC,203,3,CLA+
10086516,BSCH,2015,PSYC,203,3,CLA+
10057190,BAH,2015,PSYC,203,3,CLA+
10098916,BAH,2015,PSYC,203,3,CLA+
10104559,BSCH,2015,PSYC,203,3,CLA+
10096943,BAH,2015,PSYC,203,3,CLA+
10055836,BSCH,2015,PSYC,203,3,CLA+
10049249,BAH,2015,PSYC,203,3,CLA+
10112655,BAH,2015,PSYC,203,3,CLA+
10092634,BSCH,2015,PSYC,203,3,CLA+
10059227,BSCH,2015,PSYC,203,3,CLA+
10092322,BSCH,2015,PSYC,203,3,CLA+
10024257,BAH,2015,PSYC,203,3,CLA+
10101313,BAH,2015,PSYC,203,3,CLA+
10114752,BSCH,2015,PSYC,203,3,CLA+
10086129,BAH,2015,PSYC,203,3,CLA+
10084128,BSCH,2015,PSYC,203,3,DNT
10029968,BAH,2015,PSYC,203,3,DNT
10089283,BAH,2015,PSYC,203,3,DNT
10093700,BAH,2015,PSYC,203,3,DNT
10103625,,2015,PSYC,203,3,DNT
